,country,senti_bert,senti_bert_averageN,senti_bert_n,senti_bert_quan25,senti_bert_quan25_std,senti_bert_quan75,senti_bert_quan75_std,senti_bert_sd,senti_bert_std,tweet_date,senti_bert_trend
0,AFG,73.0061635220126,448.256578947368,318,66.6025,1.4879740139522997,89.395,0.8877124466259452,22.398001834569506,0.7018964615771567,2020-01-01,70.73046489998795
1,AFG,73.2752145214521,448.256578947368,303,64.32,0.9074913957861466,90.435,1.5121140776598163,21.510336215630304,0.8237909746879352,2020-01-02,70.7697377082276
2,AFG,67.12845070422529,448.256578947368,284,53.3775,-1.875391867864715,85.0575,-1.7164626251138573,22.7088268760388,-1.961022255029481,2020-01-03,70.82485996457608
3,AFG,70.34175510204079,448.256578947368,245,58.35,-0.6107917281796407,87.43,-0.2920464043178459,22.216442786902498,-0.5052232583172598,2020-01-04,70.89041848295872
4,AFG,66.0026923076923,448.256578947368,312,51.7325,-2.293746262994316,84.7625,-1.8935765493013492,23.365974075494105,-2.4710511042500016,2020-01-05,70.96470366217066
5,AFG,72.744465408805,448.256578947368,318,63.825,0.7816035990754178,90.33,1.4490735283727407,22.478096766761603,0.5833331997498281,2020-01-06,71.04635859745103
6,AFG,73.38051948051951,448.256578947368,308,60.89,0.0351779761542125,92.5575,2.786433752534225,22.817202859006706,0.8714997612764008,2020-01-07,71.14318996654205
7,AFG,68.94582697201021,448.256578947368,393,55.96,-1.2186136153284242,87.68,-0.1419498583962431,22.4686556478808,-1.1376534670962444,2020-01-08,71.31219125822186
8,AFG,74.9697435897436,448.256578947368,273,65.79,1.2813400041998368,90.92,1.8033013767477253,20.3716767843872,1.5915034015577725,2020-01-09,71.5650566367771
9,AFG,72.5465203761756,448.256578947368,319,60.895,0.0364495700603821,90.545,1.5781565578653212,21.8753981338517,0.4936534980377956,2020-01-10,71.77371555513989
10,AFG,69.0096529968454,448.256578947368,317,58.08,-0.6794577991127677,87.82,-0.0578957926801538,23.8097254795357,-1.1087368593256353,2020-01-11,71.89858185860666
11,AFG,71.12738601823709,448.256578947368,329,60.24,-0.1301292316477574,89.47,0.9327414104024276,23.071573573786804,-0.1492903749084532,2020-01-12,71.93995471443776
12,AFG,72.74208791208791,448.256578947368,273,61.76,0.2564353158276183,90.72,1.6832241400104413,21.7779830898738,0.5822560663983235,2020-01-13,71.94539635369681
13,AFG,75.7746534653465,448.256578947368,303,68.355,1.9336676780645348,90.51,1.5571430414362988,19.5312528920147,1.9561706861583463,2020-01-14,71.92056828317538
14,AFG,71.3392664092664,448.256578947368,259,61.015,0.0669678238084376,87.59,-0.1959846149280222,21.4204952715107,-0.0532972094638222,2020-01-15,71.82117926164528
15,AFG,69.0756734693878,448.256578947368,245,57.55,-0.8142467531666823,87.01,-0.5442086014661395,22.3087820145993,-1.0788260492091024,2020-01-16,71.69101072124461
16,AFG,72.45431654676258,448.256578947368,278,63.7875,0.7720666447791499,89.4475,0.9192327212694872,23.279650106863603,0.4518802248789449,2020-01-17,71.57316522276454
17,AFG,70.8006042296073,448.256578947368,331,62.16,0.3581628283211382,87.45,-0.2800386806441201,22.1619108463389,-0.2973400275820323,2020-01-18,71.47526083965643
18,AFG,72.468515625,448.256578947368,256,64.49,0.9507255885958932,87.5775,-0.203489442224104,19.398169474578303,0.4583131678227612,2020-01-19,71.48692321156288
19,AFG,68.9957954545454,448.256578947368,264,57.1125,-0.92551121995647,87.6125,-0.1824759257950817,22.4990872677528,-1.1150150681971491,2020-01-20,71.6100498794623
20,AFG,71.8804733727811,448.256578947368,338,60.0425,-0.1803571909414344,90.2275,1.3875339445448884,23.0234980935496,0.191898532039532,2020-01-21,71.73884527525256
21,AFG,74.1847386759582,448.256578947368,287,62.82,0.5260132239354476,89.685,1.061824439895008,19.871836640141,1.2358541307697752,2020-01-22,71.77684317787657
22,AFG,69.6087925696594,448.256578947368,323,58.69,-0.5243233425601495,84.51,-2.045174060682167,19.7611004129672,-0.8372945429406178,2020-01-23,71.73715546003505
23,AFG,74.27174496644301,448.256578947368,298,64.605,0.9799722484377824,89.915,1.199913262142885,20.4808673543034,1.2752726404140982,2020-01-24,71.66419984687613
24,AFG,72.5781102362205,448.256578947368,254,63.61,0.7269250611101498,88.3,0.2302895754893258,20.3934817235786,0.5079653965902371,2020-01-25,71.56963630286234
25,AFG,70.48969348659,448.256578947368,261,61.07,0.0809553567762965,90.8,1.7312550347053532,25.1992070369348,-0.4381992465403564,2020-01-26,71.4042638559243
26,AFG,69.4523716381418,448.256578947368,409,56.63,-1.0482200319017774,88.68,0.4584363252901678,23.933833853772303,-0.9081616028192038,2020-01-27,71.12765828718618
27,AFG,73.5691823899371,448.256578947368,318,62.815,0.5247416300292779,90.4325,1.5106131122006017,20.9958052883892,0.9569741640231963,2020-01-28,70.82101471351322
28,AFG,69.79859872611459,448.256578947368,314,59.645,-0.2814489064818685,88.535,0.3713803286556321,24.0292377939184,-0.7513021880535053,2020-01-29,70.55544407045085
29,AFG,70.1289565217391,448.256578947368,345,58.62,-0.5421256572465156,88.76,0.5064672199850796,23.1066555035373,-0.6016324126804744,2020-01-30,70.3026005120364
30,AFG,68.41769230769229,448.256578947368,390,53.7925,-1.769849573652688,86.9675,-0.5697250142728144,23.1800303716038,-1.3769267569114456,2020-01-31,70.08849183526802
