,country,senti_bert,senti_bert_averageN,senti_bert_n,senti_bert_quan25,senti_bert_quan25_std,senti_bert_quan75,senti_bert_quan75_std,senti_bert_sd,senti_bert_std,tweet_date
0,AFG,73.0061635220126,448.256578947368,318,66.6025,1.4879740139522997,89.395,0.8877124466259452,22.398001834569502,0.7018964615771567,2020-01-01
1,AFG,73.2752145214521,448.256578947368,303,64.32,0.9074913957861466,90.435,1.5121140776598163,21.510336215630304,0.8237909746879352,2020-01-02
2,AFG,67.12845070422529,448.256578947368,284,53.3775,-1.875391867864715,85.0575,-1.7164626251138573,22.7088268760388,-1.961022255029481,2020-01-03
3,AFG,70.34175510204079,448.256578947368,245,58.35,-0.6107917281796407,87.43,-0.2920464043178459,22.216442786902498,-0.5052232583172598,2020-01-04
4,AFG,66.0026923076923,448.256578947368,312,51.7325,-2.2937462629943157,84.7625,-1.8935765493013494,23.365974075494105,-2.4710511042500016,2020-01-05
5,AFG,72.744465408805,448.256578947368,318,63.825,0.7816035990754178,90.33,1.4490735283727407,22.478096766761603,0.5833331997498281,2020-01-06
6,AFG,73.38051948051951,448.256578947368,308,60.89,0.03517797615421253,92.5575,2.786433752534225,22.817202859006702,0.8714997612764008,2020-01-07
7,AFG,68.94582697201021,448.256578947368,393,55.96,-1.2186136153284242,87.68,-0.14194985839624316,22.4686556478808,-1.1376534670962444,2020-01-08
8,AFG,74.9697435897436,448.256578947368,273,65.79,1.2813400041998368,90.92,1.8033013767477253,20.3716767843872,1.5915034015577723,2020-01-09
9,AFG,72.5465203761756,448.256578947368,319,60.895,0.03644957006038218,90.545,1.5781565578653212,21.8753981338517,0.4936534980377956,2020-01-10
10,AFG,69.0096529968454,448.256578947368,317,58.08,-0.6794577991127677,87.82,-0.05789579268015382,23.8097254795357,-1.1087368593256353,2020-01-11
11,AFG,71.12738601823709,448.256578947368,329,60.24,-0.13012923164775747,89.47,0.9327414104024276,23.071573573786804,-0.1492903749084532,2020-01-12
12,AFG,72.74208791208791,448.256578947368,273,61.76,0.25643531582761836,90.72,1.6832241400104413,21.7779830898738,0.5822560663983235,2020-01-13
13,AFG,75.7746534653465,448.256578947368,303,68.355,1.9336676780645348,90.51,1.5571430414362988,19.5312528920147,1.9561706861583465,2020-01-14
14,AFG,71.3392664092664,448.256578947368,259,61.015,0.0669678238084376,87.59,-0.1959846149280222,21.4204952715107,-0.05329720946382227,2020-01-15
15,AFG,69.0756734693878,448.256578947368,245,57.55,-0.8142467531666823,87.01,-0.5442086014661395,22.3087820145993,-1.0788260492091024,2020-01-16
16,AFG,72.45431654676258,448.256578947368,278,63.7875,0.7720666447791499,89.4475,0.9192327212694872,23.279650106863603,0.45188022487894497,2020-01-17
17,AFG,70.8006042296073,448.256578947368,331,62.16,0.35816282832113827,87.45,-0.2800386806441201,22.1619108463389,-0.2973400275820323,2020-01-18
18,AFG,72.468515625,448.256578947368,256,64.49,0.9507255885958932,87.5775,-0.20348944222410403,19.398169474578303,0.45831316782276127,2020-01-19
19,AFG,68.9957954545454,448.256578947368,264,57.1125,-0.92551121995647,87.6125,-0.1824759257950817,22.4990872677528,-1.1150150681971491,2020-01-20
20,AFG,71.8804733727811,448.256578947368,338,60.0425,-0.1803571909414344,90.2275,1.3875339445448884,23.0234980935496,0.19189853203953208,2020-01-21
21,AFG,74.1847386759582,448.256578947368,287,62.82,0.5260132239354476,89.685,1.061824439895008,19.871836640141,1.2358541307697752,2020-01-22
