,Nation,drop_senti_bert,drop_senti_bert_quan25,drop_senti_bert_quan75,min_senti_bert,min_senti_bert_quan25,min_senti_bert_quan75,senti_bert_averageN,min_senti_bert_std,min_senti_bert_quan25_std,min_senti_bert_quan75_std
124,SYR,2020-3-10,2020-3-10,2020-3-10,2020-3-1,2020-3-1,2020-3-27,500.5921053,2020-3-1,2020-3-1,2020-3-25
125,THA,2020-2-24,2020-2-24,2020-2-24,2020-2-26,2020-2-26,2020-2-27,40895.88816,2020-2-27,2020-2-26,2020-2-27
126,TTO,2020-3-10,2020-3-10,2020-3-10,2020-3-14,2020-3-13,2020-3-15,2307.348684,2020-3-14,2020-3-13,2020-3-15
127,TUN,2020-3-8,2020-3-8,2020-3-8,2020-3-12,2020-3-12,2020-3-7,686.8552632,2020-3-12,2020-3-11,2020-3-5
128,TUR,2020-3-9,2020-3-9,2020-3-9,2020-3-25,2020-4-10,2020-3-15,81399.50658,2020-3-25,2020-4-10,2020-3-25
129,TWN,2020-2-23,2020-2-23,2020-2-23,2020-3-16,2020-3-16,2020-3-20,4578.098684,2020-3-16,2020-3-17,2020-3-4
130,TZA,2020-3-10,2020-3-10,2020-3-10,2020-3-15,2020-3-14,2020-3-20,5035.631579,2020-3-15,2020-3-14,2020-3-19
131,UGA,2020-3-11,2020-3-11,2020-3-11,2020-3-24,2020-3-24,2020-3-24,6857.592105,2020-3-24,2020-3-24,2020-3-24
132,UKR,2020-3-10,2020-3-10,2020-3-10,2020-3-16,2020-3-14,2020-3-26,5885.822368,2020-3-16,2020-3-15,2020-3-27
133,URY,2020-3-10,2020-3-10,2020-3-10,2020-3-15,2020-3-16,2020-3-15,13961.80921,2020-3-15,2020-3-15,2020-3-15
134,USA,2020-3-5,2020-3-5,2020-3-5,2020-3-14,2020-3-14,2020-3-15,1001282.441,2020-3-14,2020-3-14,2020-3-14
135,UZB,2020-3-11,2020-3-11,2020-3-11,2020-3-15,2020-3-16,2020-3-15,490.7171053,2020-3-15,2020-3-15,2020-3-16
136,VEN,2020-3-11,2020-3-11,2020-3-11,2020-3-17,2020-3-16,2020-3-19,13280.82237,2020-3-17,2020-3-16,2020-3-18
137,VIR,2020-3-10,2020-3-10,2020-3-10,2020-4-11,2020-4-11,2020-4-11,420.9013158,2020-4-14,2020-4-11,2020-4-11
138,VNM,2020-2-22,2020-2-22,2020-2-22,2020-3-19,2020-3-19,2020-3-19,1755.592105,2020-3-19,2020-3-19,2020-3-19
139,XKO,2020-3-7,2020-3-7,2020-3-7,2020-3-12,2020-3-11,2020-3-14,765.8684211,2020-3-12,2020-3-11,2020-3-14
140,YEM,2020-3-4,2020-3-4,2020-3-4,2020-3-18,2020-3-18,2020-3-9,790.8289474,2020-3-18,2020-3-18,2020-3-9
141,ZAF,2020-3-8,2020-3-8,2020-3-8,2020-3-24,2020-3-18,2020-3-25,61022.73684,2020-3-25,2020-3-16,2020-3-25
142,ZMB,2020-3-10,2020-3-10,2020-3-10,2020-3-25,2020-3-25,2020-3-25,1987.302632,2020-3-25,2020-3-25,2020-3-24
