,country,tweet_date,senti_bert_averageN,senti_bert,senti_bert_std_trend,senti_bert_quan25,senti_bert_quan75,senti_bert_std_trend_fitted_normal-ci,senti_bert_std_trend_fitted_normal,senti_bert_std_trend_fitted_normal+ci
0,AFG,2020-01-01,448.256578947368,73.0061635220126,0.02835008272707,66.6025,89.395,,,
1,AFG,2020-01-02,448.256578947368,73.2752145214521,-0.0831614375324363,64.32,90.435,,,
2,AFG,2020-01-03,448.256578947368,67.12845070422529,-0.182153780022547,53.3775,85.0575,,,
3,AFG,2020-01-04,448.256578947368,70.34175510204079,-0.2743104866199567,58.35,87.43,,,
4,AFG,2020-01-05,448.256578947368,66.0026923076923,-0.3544867618020591,51.7325,84.7625,,,
5,AFG,2020-01-06,448.256578947368,72.744465408805,-0.3741377456756775,63.825,90.33,,,
6,AFG,2020-01-07,448.256578947368,73.38051948051951,-0.2097162981677869,60.89,92.5575,,,
7,AFG,2020-01-08,448.256578947368,68.94582697201021,-0.0821904705687592,55.96,87.68,,,
8,AFG,2020-01-09,448.256578947368,74.9697435897436,0.0496611625148291,65.79,90.92,,,
9,AFG,2020-01-10,448.256578947368,72.5465203761756,0.2017795079606923,60.895,90.545,,,
10,AFG,2020-01-11,448.256578947368,69.0096529968454,0.3611271159205614,58.08,87.82,,,
11,AFG,2020-01-12,448.256578947368,71.12738601823709,0.3933685329069259,60.24,89.47,,,
12,AFG,2020-01-13,448.256578947368,72.74208791208791,0.2638491041324198,61.76,90.72,,,
13,AFG,2020-01-14,448.256578947368,75.7746534653465,0.1618638451589787,68.355,90.51,,,
14,AFG,2020-01-15,448.256578947368,71.3392664092664,0.1401940144701953,61.015,87.59,,,
15,AFG,2020-01-16,448.256578947368,69.0756734693878,0.1089257598130553,57.55,87.01,,,
16,AFG,2020-01-17,448.256578947368,72.45431654676258,0.0087127119859008,63.7875,89.4475,,,
17,AFG,2020-01-18,448.256578947368,70.8006042296073,-0.07074648585866,62.16,87.45,,,
18,AFG,2020-01-19,448.256578947368,72.468515625,-0.0287576075161136,64.49,87.5775,,,
19,AFG,2020-01-20,448.256578947368,68.9957954545454,0.047927463457712,57.1125,87.6125,,,
20,AFG,2020-01-21,448.256578947368,71.8804733727811,0.0963529269455028,60.0425,90.2275,,,
21,AFG,2020-01-22,448.256578947368,74.1847386759582,0.1452822166092123,62.82,89.685,,,
22,AFG,2020-01-23,448.256578947368,69.6087925696594,0.1901552320538439,58.69,84.51,,,
23,AFG,2020-01-24,448.256578947368,74.27174496644301,0.2231924211459353,64.605,89.915,,,
24,AFG,2020-01-25,448.256578947368,72.5781102362205,0.1963266320316679,63.61,88.3,,,
25,AFG,2020-01-26,448.256578947368,70.48969348659,0.0689669774294889,61.07,90.8,,,
26,AFG,2020-01-27,448.256578947368,69.4523716381418,-0.1085096844565052,56.63,88.68,,,
27,AFG,2020-01-28,448.256578947368,73.5691823899371,-0.3476254201573419,62.815,90.4325,,,
28,AFG,2020-01-29,448.256578947368,69.79859872611459,-0.5269712122939524,59.645,88.535,,,
29,AFG,2020-01-30,448.256578947368,70.1289565217391,-0.596323878962658,58.62,88.76,,,
30,AFG,2020-01-31,448.256578947368,68.41769230769229,-0.6449580299325554,53.7925,86.9675,,,
31,AFG,2020-02-01,448.256578947368,69.6659442724458,-0.7250592473980638,55.31,89.715,,,
32,AFG,2020-02-02,448.256578947368,70.1594680851064,-0.7748171635345114,57.81,87.655,,,
33,AFG,2020-02-03,448.256578947368,70.0470945945946,-0.7752109644496867,57.71,86.935,,,
34,AFG,2020-02-04,448.256578947368,69.64985663082439,-0.7608277037503369,56.225,88.56,,,
35,AFG,2020-02-05,448.256578947368,69.491541218638,-0.7727460842457528,52.45,88.46,,,
