,country,model,mType,mMinDate,mRecoveryTime,u,v,gama,a,b,sse,r-squared,sd_position_half,sd_position_525,sd_position_final,mPercent
0,AFG,normal-ci,1,2020-3-13,3.5231090339949223,0.3213666521661959,-2.068654794317066,0.19674287540526367,,,11.546470122355252,0.46843275785264876,-1.3816792521866612,1.2025172160313538,1.2025202077350656,
1,AFG,normal,1,2020-3-13,4.307937660277368,0.3213666521661959,-2.068654794317066,0.16089816308117136,,,11.329499411461097,0.5306596428717401,-1.381698234513136,1.2024792513784048,1.2025202077350656,
2,AFG,normal+ci,1,2020-3-13,5.541939847338531,0.3213666521661959,-2.068654794317066,0.12505345075707905,,,11.782167288378815,0.6291221946858403,-1.3819581021364822,1.2019595161317118,1.2025202077350656,
3,AGO,normal-ci,1,2020-3-23,7.47130539380348,0.7492738320157357,-2.4675797948174125,0.09237788606539857,,,3.940157397539231,0.8358913003907805,-1.1675509637680892,2.381985657550701,2.4031197035683123,
4,AGO,normal,1,2020-3-23,8.232004710532,0.7492738320157357,-2.4675797948174125,0.08357531187006627,,,3.7748922152546243,0.864917967317602,-1.1753830138746872,2.3663215573375047,2.4031197035683123,
5,AGO,normal+ci,1,2020-3-23,9.150243980979024,0.7492738320157357,-2.4675797948174125,0.07477273767473397,,,4.002465707152023,0.9025351092629222,-1.1890200110151985,2.3390475630564826,2.4031197035683123,
6,ALB,normal-ci,1,2020-3-25,1.0229614199765944,0.18175832773608233,-0.6725363162113653,0.6775887800106917,,,3.414854604489777,0.13599265441391628,0.022071994524275596,0.4779040993751893,0.4779040993751893,
7,ALB,normal,1,2020-3-25,1.615676817213358,0.18175832773608233,-0.6725363162113653,0.4290135088718679,,,3.3068532385599583,0.1674870687145548,0.02207199452231044,0.477904099371259,0.4779040993751893,
8,ALB,normal+ci,1,2020-3-25,3.841373091266833,0.18175832773608233,-0.6725363162113653,0.1804382377330441,,,4.061188119432709,0.29618166477111424,0.022064432436386495,0.47788897519941115,0.4779040993751893,
9,ARE,normal-ci,1,2020-3-15,22.44401204279248,2.5582677298305305,-4.873227358613711,0.022861210739021236,,,22.99127696446451,1.1585388860365167,-1.3567673582381716,1.7720861441799827,3.3099795509592,
10,ARE,normal,1,2020-3-15,24.961877499034408,2.5582677298305305,-4.873227358613711,0.01779500917654031,,,12.890492760217546,0.8539946341317568,-1.6896443290563559,1.106332202543614,3.3099795509592,
11,ARE,normal+ci,1,2020-3-15,27.738219361928948,2.5582677298305305,-4.873227358613711,0.012728807614059385,,,28.92261891352419,0.7558685275056136,-2.1666237158321606,0.15237342899200534,3.3099795509592,
12,ARG,normal-ci,1,2020-3-15,17.36057309185999,3.0606685525585804,-8.086826198928394,0.0354583669246425,,,7.15377197280508,0.9608959785935823,-2.0020971731473547,2.6918175199301353,3.515447866007986,
13,ARG,normal,1,2020-3-15,18.013705748595576,3.0606685525585804,-8.086826198928394,0.033587103772829044,,,5.93771291153856,0.9403203313949815,-2.060611881282819,2.574788103659207,3.515447866007986,
14,ARG,normal+ci,1,2020-3-15,18.70089044324235,3.0606685525585804,-8.086826198928394,0.03171584062101559,,,7.332505574373716,0.9233451617600218,-2.1274409286955662,2.4411300088337113,3.515447866007986,
15,AUS,normal-ci,1,2020-3-15,12.463842484047525,1.3288018817195968,-4.1506119865505235,0.05388198877681075,,,6.414592336619315,0.803125117815515,-0.9943279685871657,1.7680585145478798,1.8912108829399743,
16,AUS,normal,1,2020-3-15,13.341966586459648,1.3288018817195968,-4.1506119865505235,0.04979983887061116,,,5.88881562822152,0.8007510314899915,-1.0150301185789494,1.7266542145643125,1.8912108829399743,
17,AUS,normal+ci,1,2020-3-15,14.326064515749735,1.3288018817195968,-4.1506119865505235,0.045717688964411564,,,6.547942374788814,0.8023843038128556,-1.042692411032919,1.6713296296563733,1.8912108829399743,
18,AUT,normal-ci,1,2020-3-13,8.413434006581312,0.29474111296031685,-3.5107214916316236,0.08208930244080596,,,10.649300937400403,0.8307192315659314,-3.4624482952761833,-0.49518154059785846,-0.48032373859742816,
19,AUT,normal,1,2020-3-13,9.310614018736128,0.29474111296031685,-3.5107214916316236,0.07396262938787934,,,10.23734095669752,0.8635217935747589,-3.4684646332911804,-0.5072142166278528,-0.48032373859742816,
20,AUT,normal+ci,1,2020-3-13,10.404650933481069,0.29474111296031685,-3.5107214916316236,0.06583595633495272,,,10.815417937600337,0.9061321533084272,-3.4793533370988645,-0.5289916242432197,-0.48032373859742816,
21,AZE,normal-ci,1,2020-3-31,17.070561349391937,1.541894802400609,-2.507211261097976,0.030642210142506662,,,11.987687021138466,1.3572694617315892,-0.16623404970888417,1.6535960290099982,2.481886143119413,
22,AZE,normal,1,2020-3-31,20.339306558463413,1.541894802400609,-2.507211261097976,0.01985151574710239,,,5.877753342278959,0.7306007278645444,-0.5018125014063034,0.9824391256151597,2.481886143119413,
23,AZE,normal+ci,1,2020-3-31,24.10875373208878,1.541894802400609,-2.507211261097976,0.00906082135169812,,,19.272987668141592,0.9025980994549949,-1.1093075082462875,-0.2325508880648084,2.481886143119413,
24,BEL,normal-ci,1,2020-3-13,11.47114659318472,1.2288696584358048,-4.499859523961956,0.059282156704378,,,12.209121815970772,1.0114992315594507,-1.6000242154189772,1.7920830514820083,1.8828271523039442,
25,BEL,normal,1,2020-3-13,12.483796077511421,1.2288696584358048,-4.499859523961956,0.05398186190821768,,,11.480897315832658,1.0269942991621865,-1.6214598290998283,1.7492118241203058,1.8828271523039442,
26,BEL,normal+ci,1,2020-3-13,13.658804355114455,1.2288696584358048,-4.499859523961956,0.04868156711205736,,,12.464088308013883,1.0513884332915517,-1.6530225040378372,1.6860864742442887,1.8828271523039442,
27,BEN,normal-ci,1,2020-3-3,28.268831491470337,3.3321874553794153,-4.771011337396676,0.016516264595501394,,,35.76631521472783,1.4336869392416087,1.6181055299962694,5.908640033058625,8.828665121108072,
28,BEN,normal,1,2020-3-3,31.8557697981596,3.3321874553794153,-4.771011337396676,0.01162429246694311,,,15.179776706772333,0.8385836944250742,0.8868537061708792,4.446136385407845,8.828665121108072,
29,BEN,normal+ci,1,2020-3-3,35.77652022154632,3.3321874553794153,-4.771011337396676,0.006732320338384825,,,50.59697511902553,0.8218854517302763,-0.2106478680668649,2.2511332369323567,8.828665121108072,
30,BGD,normal-ci,1,2020-3-22,2.3338107184598416,-0.4189334296083787,-0.6186016992206712,0.2970023102216467,,,2.3515357931939986,0.22129086991588368,-1.9989817308264068,-1.5429159878476455,-1.5429159827786287,
31,BGD,normal,1,2020-3-22,3.2390461134878787,-0.4189334296083787,-0.6186016992206712,0.21399696982099198,,,2.2937274774085874,0.266131984444944,-1.9989822423526578,-1.5429170109001475,-1.5429159827786287,
32,BGD,normal+ci,1,2020-3-22,5.289792891160369,-0.4189334296083787,-0.6186016992206712,0.13099162942033726,,,2.4505356506326263,0.36953017661249893,-1.9990859924826734,-1.5431245111601795,-1.5429159827786287,
33,BGR,normal-ci,1,2020-3-13,2.7501042392026678,-0.008253797699519541,-2.0362562180964785,0.25204396272043555,,,6.189703281361307,0.49329372489067136,-2.7720584609764294,-0.6668774031134451,-0.6668773600960218,
34,BGR,normal,1,2020-3-13,3.252278494265494,-0.008253797699519541,-2.0362562180964785,0.21312658394423023,,,6.000962231279329,0.5471254319599398,-2.7720588079625528,-0.6668780970856923,-0.6668773600960218,
35,BGR,normal+ci,1,2020-3-13,3.978803422108598,-0.008253797699519541,-2.0362562180964785,0.1742092051680249,,,6.312794626650692,0.6255806798669888,-2.772064752651228,-0.6668899864630423,-0.6668773600960218,
36,BHR,normal-ci,3,2020-3-12,37.00000000000001,,,,0.055175448381719776,-1.4083843778709717,24.6283271531064,0.8840912818110424,3.0436509115395265,8.101461147470092,,
37,BHR,normal,3,2020-3-12,37.0,,,,0.05279954266970088,-1.4083843778709717,23.850314959488493,0.8052821894451521,2.8258569364599078,7.665873197310853,,
38,BHR,normal+ci,3,2020-3-12,37.0,,,,0.05042363695768199,-1.4083843778709717,24.628327155950753,0.7392603939728838,2.6080629613802895,7.230285247151617,,
39,BIH,normal-ci,1,2020-3-21,7.576947231551795,0.28140284241313684,-2.4355719150183215,0.09112832526204814,,,7.532965002736733,0.7450048171734741,-2.4528137762737687,-0.3444385551166282,-0.33312322151191853,
40,BIH,normal,1,2020-3-21,8.635048347074793,0.28140284241313684,-2.4355719150183215,0.079618311595395,,,7.198603459138466,0.7786223625298596,-2.459111263320301,-0.35703352920969217,-0.33312322151191853,
